source,target
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS 
","hi there . i am doing good .#hi there . i am doing good today.#hi there . i am doing good today i am doing well . i#hi there . i am doing good today i am doing well .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # 
","i am not a goner .#i am not a goner . i  . . .  .#i am not a goner . i . . . #i am not a goner . i  . .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # 
","i do not like carrots. i do not like celery . # i do not like carrots. # i do not like carrots. i do not like onions . # i do not like carrots. i do not like celery .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # 
","i am not sure .  is not good singer .  . # i am not sure .  is not good singer . is not # i am not sure .  . # i am not sure .  is not good singer .  . .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # 
","i ride my bike, .# i ride my bike. i have a bike for you . # i ride my bike. as well as a bike. # i ride my bike. i have a bike.
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # 
","i am not sure . ? ? # i am not sure . ? . # i am not sure .  .# i am not sure . ? ˈ
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # 
","i am a goner , I am a gourmet cook. # i am a goner . i  .#i am a goner .#i am a goner , I am a gourmet cook  .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # 
","i have a lot of fun. i am sure you have a great # i have a lot of fun. i am sure you are not a # i have a lot of fun. # i have a lot of fun. i am sure you are not very
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # 
","i am not sure .  is a good spelling. # i am not sure .  is a good spelling, i. # i am not sure .  . # i am not sure .  is a good spelling, i. know
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # 
","i am not sure what to cook . ? ? # i am not sure what to cook .  ?  . . #i am not sure what to cook . .#i am not sure what to cook . . ˈ
"
